Company,TypeName,Inches,Price,Ram(GB),Weight(kg),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,X_res,Y_res,TouchScreen,Ips_display,OS,PPI,Resolution
Asus,Notebook,15.6,10.003839546462832,4,2.0,Intel Core i3,Intel,256,0,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Dell,Notebook,17.3,11.144911042902732,16,2.8,Intel Core i7,AMD,256,2000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Ultrabook,14.0,10.754345923917311,8,1.7,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,14.0,10.370822624347584,8,1.7,Intel Core i3,Intel,256,0,1920,1080,0,1,Other,157.3505121487356,1920x1080
Asus,Notebook,14.0,10.822504165817511,8,1.4,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
HP,Notebook,15.6,10.51225262382344,8,1.86,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Ultrabook,15.6,11.56792715475193,16,1.8,Intel Core i7,Nvidia,512,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.059354039524033,4,1.86,Intel Core i3,AMD,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,14.0,9.409283029786373,4,1.44,Intel Celeron,Intel,32,0,1366,768,0,0,Windows,111.93520355955212,1366x768
Lenovo,Notebook,15.6,10.283659467741664,4,1.9,Intel Core i5,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Gaming,17.3,10.83096982484206,12,3.0,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Linux,127.33567457123112,1920x1080
Microsoft,Ultrabook,13.5,10.968576149165091,4,1.252,Intel Core i5,Intel,128,0,2256,1504,1,0,Windows,200.84255993695703,2256x1504
Dell,Ultrabook,13.3,10.837272366712863,8,1.4,Intel Core i7,AMD,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Dell,Notebook,15.6,10.744054237880762,8,2.2,Intel Core i7,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
MSI,Gaming,17.3,10.974070668482735,8,2.7,Intel Core i5,Nvidia,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Acer,Notebook,14.0,9.93914036985058,8,2.1,Intel Core i3,Intel,0,1000,1366,768,0,0,Windows,111.93520355955212,1366x768
Asus,Gaming,15.6,10.83096982484206,8,2.2,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.227464909398025,8,2.2,Intel Core i5,Intel,0,2000,1920,1080,0,0,Other,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.726662495168894,8,2.02,Intel Core i7,Intel,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.2484380327783,4,2.2,Intel Core i3,Nvidia,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,17.3,10.860047678274915,8,2.5,Intel Core i5,Nvidia,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Ultrabook,15.6,10.975129468486722,8,1.88,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Apple,Ultrabook,12.0,11.295425956041104,8,0.92,Intel Core i5,Intel,512,0,2304,1440,0,1,Mac,226.4155471693585,2304x1440
HP,Notebook,14.0,10.732493415479688,8,1.63,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,15.6,9.964522443121997,4,2.2,AMD,AMD,128,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,9.954446791133256,4,2.1,AMD,AMD,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Gaming,15.6,11.18267988243989,16,2.65,Intel Core i7,Nvidia,128,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
HP,Ultrabook,15.6,10.525211768465944,8,1.83,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.370805929717411,8,1.96,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Gaming,15.6,11.254189968552817,16,2.2,Intel Core i7,Nvidia,128,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Dell,Ultrabook,13.3,11.383485348791732,8,1.21,Intel Core i7,Intel,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Asus,Gaming,15.6,10.525211768465944,8,2.45,AMD,AMD,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.510802297245792,8,2.2,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,13.3,11.063134731790107,16,1.49,Intel Core i7,Intel,512,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
Dell,Gaming,15.6,11.061462490597744,8,2.65,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Ultrabook,14.0,10.931153634628432,8,1.25,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Acer,2 in 1 Convertible,13.3,10.717261720884188,8,1.5,Intel Core i5,Intel,256,0,1920,1080,1,1,Windows,165.6321180513006,1920x1080
Dell,Notebook,15.6,10.37232400089118,8,2.2,Intel Core i7,AMD,0,1000,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.159709917169616,4,2.2,Intel Core i3,AMD,256,0,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Asus,Notebook,15.6,10.333403292740233,6,2.0,Intel Core i3,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Gaming,15.6,11.105659536357711,12,2.62,Intel Core i7,Nvidia,128,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.55342238395318,8,1.91,Intel Core i7,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
